;
;
; Title		:	Object.dat
; Author	:	Richard Jobling
; Date		:	03/02/00
;
;	09/05/2001	- Andrzej:	- some new Collision Damage Effect numbers added;
;	14/07/2001	- Andrzej:	- smash_barpost_completely added;
;	
;
;
; (A) Object Name		[256 chars max]
; (B) Mass				[kilograms 1 to 50000]
; (C) TurnMass			[kg m^3 or some such dimension] 
; (D) Air Resistance	[scale 0 (total resistance) to 1 (zero resistance)]
; (E) Elasticity		[scale 0 (no bounce) to 1 (full bounce)]
; (F) Percent Submerged	[percentage 10 to 120]
; (G) Uproot Limit		[force magnitude required to uproot]
; (H) Collision Damage Multiplier	[0.1 - 5.0 ish]
;
; (I) Collision Damage Effect [uint8 integer 0 - 4]
;		0:none 
;		1:change_model
;		2:split_model
;		3:smash_and_damage_trafficlights
;		20:smash_completely
;		21:change_then_smash
;
;		50:smash_cardbox_completely		(only for cardbox1 & cardbox4)
;		51:smash_yellow_target_completely(bankjob2's targets)
;		60:smash_woodenbox_completely	(only for woodenbox);
;		70:smash_trafficcone_completely	(only for trafficcone);
;		80:smash_barpost_completely		(only for smashbar);
;
;		91:smash_newstandnew1			(only for newstandnew);
;		92:smash_newstandnew2			(only for newstandnew);
;		93:smash_newstandnew3			(only for newstandnew);
;		94:smash_newstandnew4			(only for newstandnew);
;		95:smash_newstandnew5			(only for newstandnew);
;
;		100:smash_blackbag				(only for blackbag)
;		110:smash_vegpalm				(only for veg_palmXXX);
;
;		120:burst_beachball				(only for beachball);
;		131:smash_beachlounge_wood		(only for wood lounges);
;		132:smash_beachlounge_towel		(only for towel lounge);
;
;
;
; (J) Special Collision Response Cases [uint8 0 - 4] 0:none(default) 1:lampost 2:smallbox 3:bigbox 4:fencepart
; (K) Camera to avoid this object (0) for no (1) for yes
;
;
;
;A				B		C		D		E		F		G		H	I	J	K
jm_mpFlat_04			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
IZ_mpFlat_05			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
ca_mpFlat_06			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
ca_mpFlat_07			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
ca_mpFlat_08			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
IZ_SalOffSml			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
learjet_special			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
fuckedup_skewlbus		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
car_fucko			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Tomplank1			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Tomplank2			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Tomplank3			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Tomplank4			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Crate_sjl			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Door1_sjl			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Door2_sjl			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_imp_SalvGarage		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_export_slash			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_sub_gate			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_sub_gate_left		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_sub_gate_right		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_Electricgate			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
SJL_PortaCabinred		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
SJL_PortaCabin			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
SJL_rPole_flag			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
SJL_bPole_flag			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
iz_bogRoll			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Jm_sawblade			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_manmeat 			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		5.0,	0,	0,	1
jm_dynamite			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		5.0,	0,	0,	1
iz_policeBar			60.0,		150.0		0.8,		0.02,		50.0,		20.0,		1.0,	60,	0,	0
learjet_flying			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Streetlamp1,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
Streetlamp2,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
doc_floodlite,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
iz_Door_BrnFr 			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
dr_holepaper,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
Iz_noodleMess,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	4,	1
jm_sawmill_door,		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
tosh_bcage,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
dr_subgatea,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
dr_subgateb,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
script_salchair,		99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
pm_subgatesam1,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
pm_subgatesam2,			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,		1.0,	0,	0,	1
dr_wheeliebinA			900.0,	900.0		0.99,		0.05,		50.0,		0.0,			1.0,	0,	0,	0	
dr_wheeliebinB			900.0,	900.0		0.99,		0.05,		50.0,		0.0,			1.0,	0,	0,	0
chinalanterns			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	0
dr_billboard1			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	1
trans_lights01			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	0
trans_lights02			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	0
trans_lights03			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	0
dr_binbag				100.0,	100.0,		0.99,		0.1,		50.0,		0.0,			1.0,	100,	0,	0
sub_billboard1			99999.0,	99999.0		0.99,		0.1,		50.0,		0.0,			1.0,	0,	0,	1
* ;end of file
